Date Collected,MLVA Type,MLVA Loci Size
1/01/2008,3-11-10-8-523,162-235-318-353-523
2/01/2008,3-12-12-11-523,162-241-330-371-523
2/01/2008,3-12-12-11-523,162-241-330-371-523
2/01/2008,4-13-10-0-490,171-247-318-0-490
2/01/2008,4-16-9-0-517,171-265-312-0-517
2/01/2008,5-14-11-9-490,180-253-324-359-490
2/01/2008,5-15-0-12-490,180-259-0-377-490
4/01/2008,4-13-9-0-490,171-247-312-0-490
4/01/2008,6-11-16-13-490,189-235-354-383-490
5/01/2008,3-10-15-11-496,162-229-348-371-496
5/01/2008,3-13-10-12-523,162-247-318-377-523
5/01/2008,3-9-8-12-523,162-223-306-377-523
6/01/2008,3-10-15-12-523,162-229-348-377-523
6/01/2008,3-9-8-12-523,162-223-306-377-523
6/01/2008,4-16-14-0-490,171-265-342-0-490
7/01/2008,4-16-9-0-517,171-265-312-0-517
7/01/2008,6-11-16-13-490,189-235-354-383-490
8/01/2008,3-13-11-12-523,162-247-324-377-523
8/01/2008,3-21-9-11-523,162-295-312-371-523
9/01/2008,3-10-14-12-523,162-229-342-377-523
9/01/2008,3-10-8-9-523,162-229-306-359-523
9/01/2008,3-12-10-12-523,162-241-318-377-523
9/01/2008,3-12-10-12-523,162-241-318-377-523
9/01/2008,3-12-11-14-523,162-241-324-389-523
9/01/2008,3-13-11-12-523,162-247-324-377-523
9/01/2008,4-16-9-0-517,171-265-312-0-517
10/01/2008,3-10-7-12-523,162-229-300-377-523
10/01/2008,3-12-9-12-523,162-241-312-377-523
10/01/2008,3-15-11-9-523,162-259-324-359-523
10/01/2008,3-9-8-9-523,162-223-306-359-523
11/01/2008,3-12-11-15-523,162-241-324-395-523
14/01/2008,3-17-16-13-523,162-271-354-383-523
14/01/2008,3-9-8-12-523,162-223-306-377-523
14/01/2008,4-16-10-0-517,171-265-318-0-517
14/01/2008,6-11-16-13-490,189-235-354-383-490
15/01/2008,3-12-13-12-523,162-241-336-377-523
15/01/2008,3-13-11-12-523,162-247-324-377-523
15/01/2008,3-20-13-13-523,162-289-336-383-523
15/01/2008,4-16-10-0-517,171-265-318-0-517
15/01/2008,4-16-10-0-517,171-265-318-0-517
15/01/2008,6-11-16-13-490,189-235-354-383-490
16/01/2008,3-10-7-12-523,162-229-300-377-523
17/01/2008,3-12-12-12-523,162-241-330-377-523
17/01/2008,4-16-10-0-517,171-265-318-0-517
17/01/2008,4-16-10-0-517,171-265-318-0-517
17/01/2008,4-16-10-0-517,171-265-318-0-517
18/01/2008,3-12-10-10-523,162-241-318-365-523
18/01/2008,3-14-8-13-523,162-253-306-383-523
18/01/2008,3-16-16-13-523,162-265-354-383-523
18/01/2008,4-16-10-0-517,171-265-318-0-517
18/01/2008,5-14-9-9-490,180-253-312-359-490
18/01/2008,5-14-9-9-490,180-253-312-359-490
19/01/2008,3-17-16-13-523,162-271-354-383-523
19/01/2008,3-9-8-12-523,162-223-306-377-523
19/01/2008,5-14-9-9-490,180-253-312-359-490
20/01/2008,4-10-13-0-544,171-229-336-0-544
21/01/2008,3-11-10-8-523,162-235-318-353-523
21/01/2008,3-13-10-10-496,162-247-318-365-496
21/01/2008,3-14-11-9-523,162-253-324-359-523
21/01/2008,3-15-16-9-523,162-259-354-359-523
21/01/2008,3-25-13-12-523,162-319-336-377-523
22/01/2008,3-10-8-9-523,162-229-306-359-523
22/01/2008,3-10-8-9-523,162-229-306-359-523
22/01/2008,3-17-16-13-523,162-271-354-383-523
22/01/2008,5-14-9-9-490,180-253-312-359-490
22/01/2008,5-14-9-9-490,180-253-312-359-490
23/01/2008,3-11-9-10-523,162-235-312-365-523
23/01/2008,3-12-10-10-523,162-241-318-365-523
23/01/2008,3-13-10-10-496,162-247-318-365-496
23/01/2008,3-17-16-13-523,162-271-354-383-523
23/01/2008,5-11-0-14-490,180-235-0-389-490
24/01/2008,3-25-13-12-523,162-319-336-377-523
25/01/2008,3-10-14-12-496,162-229-342-377-496
25/01/2008,3-13-10-10-496,162-247-318-365-496
25/01/2008,3-17-16-13-523,162-271-354-383-523
26/01/2008,3-13-12-10-523,162-247-330-365-523
26/01/2008,4-15-11-0-490,171-259-324-0-490
27/01/2008,3-25-20-11-523,162-319-378-371-523
28/01/2008,3-12-10-12-523,162-241-318-377-523
28/01/2008,3-12-13-12-523,162-241-336-377-523
28/01/2008,3-17-16-13-523,162-271-354-383-523
28/01/2008,3-9-8-12-523,162-223-306-377-523
29/01/2008,3-10-14-11-523,162-229-342-371-523
29/01/2008,3-13-10-10-523,162-247-318-365-523
29/01/2008,3-13-12-10-523,162-247-330-365-523
30/01/2008,3-12-10-12-523,162-241-318-377-523
30/01/2008,3-12-12-11-523,162-241-330-371-523
30/01/2008,3-7-5-9-523,162-211-288-359-523
31/01/2008,3-11-10-8-523,162-235-318-353-523
31/01/2008,3-12-10-12-523,162-241-318-377-523
31/01/2008,3-13-10-10-523,162-247-318-365-523
31/01/2008,4-16-10-0-517,171-265-318-0-517
31/01/2008,4-16-13-0-517,171-265-336-0-517
1/02/2008,3-12-12-11-523,162-241-330-371-523
2/02/2008,3-14-8-13-523,162-253-306-383-523
2/02/2008,3-15-8-13-523,162-259-306-383-523
2/02/2008,3-15-8-13-523,162-259-306-383-523
3/02/2008,3-10-15-11-496,162-229-348-371-496
4/02/2008,3-12-10-12-523,162-241-318-377-523
4/02/2008,3-13-10-12-523,162-247-318-377-523
4/02/2008,3-13-12-10-523,162-247-330-365-523
5/02/2008,3-15-0-0-517,162-259-0-0-517
5/02/2008,3-17-16-13-523,162-271-354-383-523
5/02/2008,4-16-14-0-517,171-265-342-0-517
6/02/2008,3-12-10-12-523,162-241-318-377-523
6/02/2008,3-17-16-13-523,162-271-354-383-523
6/02/2008,3-18-15-12-523,162-277-348-377-523
6/02/2008,3-21-13-12-523,162-295-336-377-523
6/02/2008,5-14-9-9-490,180-253-312-359-490
7/02/2008,3-11-10-8-523,162-235-318-353-523
7/02/2008,3-11-10-8-523,162-235-318-353-523
7/02/2008,3-12-10-12-523,162-241-318-377-523
7/02/2008,3-12-10-12-523,162-241-318-377-523
7/02/2008,3-12-10-12-523,162-241-318-377-523
7/02/2008,3-17-16-13-523,162-271-354-383-523
8/02/2008,3-10-14-11-523,162-229-342-371-523
8/02/2008,3-17-16-13-523,162-271-354-383-523
9/02/2008,3-12-10-12-523,162-241-318-377-523
9/02/2008,3-12-10-12-523,162-241-318-377-523
9/02/2008,3-14-8-13-523,162-253-306-383-523
9/02/2008,3-24-14-11-523,162-313-342-371-523
9/02/2008,3-25-13-12-523,162-319-336-377-523
10/02/2008,3-12-11-10-523,162-241-324-365-523
11/02/2008,3-12-10-12-523,162-241-318-377-523
11/02/2008,3-12-11-9-523,162-241-324-359-523
11/02/2008,3-13-16-13-523,162-247-354-383-523
11/02/2008,3-17-16-13-523,162-271-354-383-523
11/02/2008,5-15-14-11-490,180-259-342-371-490
12/02/2008,3-12-12-12-523,162-241-330-377-523
12/02/2008,3-12-6-10-523,162-241-294-365-523
12/02/2008,3-12-9-10-550,162-241-312-365-550
12/02/2008,3-18-16-13-523,162-277-354-383-523
12/02/2008,3-9-7-12-523,162-223-300-377-523
12/02/2008,5-12-10-9-490,180-241-318-359-490
13/02/2008,3-14-8-13-523,162-253-306-383-523
13/02/2008,4-13-10-0-490,171-247-318-0-490
13/02/2008,4-14-10-0-490,171-253-318-0-490
14/02/2008,3-12-11-10-523,162-241-324-365-523
14/02/2008,3-17-16-13-523,162-271-354-383-523
14/02/2008,4-14-10-0-490,171-253-318-0-490
15/02/2008,3-12-12-12-523,162-241-330-377-523
15/02/2008,3-15-16-9-523,162-259-354-359-523
15/02/2008,3-17-16-13-523,162-271-354-383-523
